id,salesperson_id,created_at,region,total
125,107,2022-06-29,Sul,"R$ 523,05"
126,86,2021-11-05,Nordeste,"R$ 164,68"
127,107,2022-12-25,Sudeste,"R$ 369,25"
128,23,2021-08-30,Centro-Oeste,"R$ 511,95"
129,68,2020-02-14,Nordeste,"R$ 659,09"
130,40,2020-11-08,Centro-Oeste,"R$ 145,75"
131,127,2024-07-31,Nordeste,"R$ 559,70"
132,1,2024-09-14,Norte,"R$ 440,08"
133,136,2020-12-03,Sul,"R$ 405,00"
134,85,2023-05-26,Nordeste,"R$ 507,21"
135,78,2022-12-05,Sul,"R$ 492,05"
136,51,2021-11-17,Centro-Oeste,"R$ 420,98"
137,74,2023-07-11,Norte,"R$ 573,44"
138,104,2020-07-15,Norte,"R$ 412,73"
139,73,2023-07-19,Norte,"R$ 473,28"
140,86,2020-07-30,Norte,"R$ 394,05"
141,100,2024-08-22,Centro-Oeste,"R$ 536,75"
142,87,2023-02-01,Norte,"R$ 718,62"
143,52,2024-05-29,Sudeste,"R$ 135,36"
144,66,2022-04-12,Sul,"R$ 527,49"
145,105,2021-11-27,Nordeste,"R$ 671,62"
146,30,2024-04-26,Sudeste,"R$ 723,12"
147,129,2023-02-23,Nordeste,"R$ 458,37"
148,81,2020-03-23,Centro-Oeste,"R$ 1396,71"
149,89,2021-01-16,Norte,"R$ 184,43"
150,137,2021-04-07,Sul,"R$ 969,04"
151,57,2023-09-24,Centro-Oeste,"R$ 402,67"
152,143,2023-04-04,Nordeste,"R$ 951,51"
153,31,2023-10-30,Sul,"R$ 594,11"
154,42,2020-12-27,Sudeste,"R$ 365,89"
155,144,2020-01-16,Nordeste,"R$ 565,18"
156,104,2021-04-04,Sudeste,"R$ 677,25"
157,117,2024-07-02,Sul,"R$ 295,17"
158,97,2021-01-31,Sul,"R$ 873,90"
159,61,2020-03-02,Nordeste,"R$ 84,33"
160,133,2024-07-07,Sudeste,"R$ 65,23"
161,105,2021-02-02,Nordeste,"R$ 1279,47"
162,129,2022-02-16,Nordeste,"R$ 281,46"
163,118,2024-01-30,Sudeste,"R$ 656,50"
164,1,2022-06-15,Nordeste,"R$ 1070,23"
165,116,2020-02-15,Norte,"R$ 708,84"
166,104,2024-12-31,Centro-Oeste,"R$ 245,73"
167,54,2022-06-14,Sul,"R$ 436,69"
168,17,2022-03-28,Sul,"R$ 306,23"
169,117,2024-10-10,Sudeste,"R$ 742,85"
170,19,2022-08-16,Sul,"R$ 596,41"
171,7,2024-11-04,Norte,"R$ 603,24"
172,17,2022-09-22,Norte,"R$ 228,51"
173,17,2022-08-29,Norte,"R$ 563,69"
174,133,2024-10-04,Norte,"R$ 255,62"
175,37,2023-09-16,Sudeste,"R$ 241,91"
176,21,2021-02-12,Sul,"R$ 393,06"
177,65,2020-02-26,Sudeste,"R$ 1083,60"
178,137,2023-09-02,Sudeste,"R$ 441,34"
179,38,2020-12-31,Norte,"R$ 499,72"
180,1,2024-12-06,Norte,"R$ 597,49"
181,73,2020-02-15,Sudeste,"R$ 955,86"
182,19,2024-05-01,Centro-Oeste,"R$ 434,91"
183,40,2024-10-24,Nordeste,"R$ 405,28"
184,99,2023-01-14,Sudeste,"R$ 880,05"
185,60,2021-08-21,Centro-Oeste,"R$ 223,37"
186,9,2021-03-28,Sudeste,"R$ 785,56"
187,73,2022-02-17,Sul,"R$ 266,19"
188,139,2020-06-19,Nordeste,"R$ 550,93"
189,50,2020-12-15,Centro-Oeste,"R$ 169,70"
190,60,2024-11-18,Sul,"R$ 148,89"
191,81,2023-07-25,Sul,"R$ 483,43"
192,12,2021-07-09,Sul,"R$ 330,35"
193,70,2024-04-05,Norte,"R$ 221,67"
194,68,2020-02-25,Sudeste,"R$ 318,71"
195,132,2020-03-05,Sudeste,"R$ 152,15"
196,64,2023-12-22,Centro-Oeste,"R$ 398,26"
197,105,2023-06-22,Norte,"R$ 642,20"
198,130,2021-07-14,Norte,"R$ 783,25"
199,57,2020-06-06,Sul,"R$ 27,47"
200,142,2021-05-22,Sudeste,"R$ 340,71"
201,17,2021-06-09,Norte,"R$ 704,27"
202,11,2021-12-06,Centro-Oeste,"R$ 638,07"
203,150,2020-05-25,Centro-Oeste,"R$ 354,25"
204,30,2022-06-10,Nordeste,"R$ 1129,19"
205,54,2022-01-21,Sudeste,"R$ 370,55"
206,99,2022-09-30,Sudeste,"R$ 892,79"
207,123,2020-05-26,Sul,"R$ 695,42"
208,118,2023-07-19,Nordeste,"R$ 201,52"
209,85,2024-12-03,Sul,"R$ 751,84"
210,118,2021-08-09,Sul,"R$ 477,59"
211,107,2022-12-06,Centro-Oeste,"R$ 511,85"
212,98,2020-06-14,Nordeste,"R$ 625,42"
213,20,2023-10-24,Norte,"R$ 659,41"
214,123,2020-05-30,Sul,"R$ 693,37"
215,74,2020-12-16,Sudeste,"R$ 761,53"
216,90,2022-12-21,Norte,"R$ 526,54"
217,89,2023-07-01,Norte,"R$ 542,56"
218,79,2023-12-03,Centro-Oeste,"R$ 184,13"
219,11,2020-06-04,Centro-Oeste,"R$ 232,00"
220,101,2020-12-31,Sudeste,"R$ 130,61"
221,111,2022-01-20,Centro-Oeste,"R$ 251,96"
222,129,2023-03-05,Nordeste,"R$ 532,10"
223,148,2020-05-04,Sul,"R$ 449,01"
224,71,2021-06-28,Sudeste,"R$ 708,23"
225,121,2023-09-25,Centro-Oeste,"R$ 373,45"
226,103,2024-08-16,Centro-Oeste,"R$ 739,43"
227,17,2020-02-18,Nordeste,"R$ 499,87"
228,33,2022-05-20,Sudeste,"R$ 629,57"
229,2,2020-08-02,Norte,"R$ 261,13"
230,147,2021-06-06,Sul,"R$ 561,56"
231,68,2023-12-16,Centro-Oeste,"R$ 233,85"
232,140,2021-07-22,Norte,"R$ 925,65"
233,29,2020-12-24,Norte,"R$ 762,60"
234,51,2020-11-13,Sudeste,"R$ 264,90"
235,144,2021-11-13,Nordeste,"R$ 211,89"
236,121,2020-04-10,Sudeste,"R$ 226,72"
237,64,2024-10-03,Sudeste,"R$ 348,28"
238,110,2024-10-13,Nordeste,"R$ 484,62"
239,98,2022-08-25,Norte,"R$ 473,45"
240,147,2020-06-19,Norte,"R$ 831,96"
241,40,2020-10-25,Nordeste,"R$ 887,38"
242,106,2021-11-29,Sul,"R$ 299,71"
243,146,2023-10-30,Sul,"R$ 643,82"
244,144,2024-04-26,Sudeste,"R$ 273,62"
245,84,2022-02-25,Centro-Oeste,"R$ 908,66"
246,146,2021-11-28,Nordeste,"R$ 975,53"
247,68,2022-03-20,Nordeste,"R$ 311,76"
248,121,2020-09-21,Norte,"R$ 612,84"
249,100,2024-07-08,Nordeste,"R$ 452,99"
250,22,2023-03-27,Nordeste,"R$ 744,82"
251,85,2022-09-17,Centro-Oeste,"R$ 217,33"
252,3,2024-09-23,Norte,"R$ 175,53"
253,86,2024-02-28,Nordeste,"R$ 723,94"
254,81,2022-05-05,Centro-Oeste,"R$ 706,77"
255,31,2021-02-08,Norte,"R$ 873,16"
256,83,2022-04-28,Sul,"R$ 1323,25"
257,112,2021-03-05,Sul,"R$ 615,59"
258,33,2022-09-21,Sudeste,"R$ 747,87"
259,144,2022-07-27,Sudeste,"R$ 285,35"
260,146,2020-03-10,Norte,"R$ 734,76"
261,44,2023-05-28,Sudeste,"R$ 685,13"
262,107,2022-06-13,Centro-Oeste,"R$ 150,73"
263,78,2020-06-30,Sudeste,"R$ 298,57"
264,133,2024-12-11,Nordeste,"R$ 497,32"
265,91,2021-08-27,Centro-Oeste,"R$ 503,31"
266,113,2024-05-11,Centro-Oeste,"R$ 718,21"
267,31,2021-09-23,Centro-Oeste,"R$ 264,95"
268,41,2022-07-19,Nordeste,"R$ 712,66"
269,82,2022-04-15,Norte,"R$ 601,27"
270,56,2021-07-22,Norte,"R$ 444,23"
271,78,2024-05-21,Norte,"R$ 197,19"
272,74,2020-10-14,Sudeste,"R$ 1016,58"
273,118,2024-05-12,Sudeste,"R$ 523,18"
274,147,2023-02-03,Sul,"R$ 694,37"
275,99,2021-07-21,Nordeste,"R$ 500,01"
276,74,2021-04-21,Centro-Oeste,"R$ 800,10"
277,115,2020-12-14,Sudeste,"R$ 609,59"
278,37,2023-11-29,Centro-Oeste,"R$ 668,17"
279,39,2021-11-10,Sudeste,"R$ 238,05"
280,9,2021-09-29,Nordeste,"R$ 605,40"
281,14,2022-01-31,Sudeste,"R$ 435,77"
282,119,2022-09-29,Nordeste,"R$ 178,11"
283,22,2020-12-17,Centro-Oeste,"R$ 552,80"
284,142,2021-05-29,Nordeste,"R$ 738,94"
285,122,2021-07-18,Sudeste,"R$ 797,95"
286,109,2023-01-06,Centro-Oeste,"R$ 551,83"
287,35,2021-12-01,Sudeste,"R$ 490,95"
288,100,2020-03-14,Nordeste,"R$ 552,99"
289,124,2022-10-30,Norte,"R$ 157,48"
290,124,2024-05-21,Sul,"R$ 679,94"
291,19,2024-04-03,Nordeste,"R$ 100,52"
292,57,2022-11-05,Sudeste,"R$ 362,04"
293,11,2022-04-14,Sul,"R$ 287,48"
294,118,2022-08-19,Sudeste,"R$ 54,03"
295,128,2023-03-21,Sudeste,"R$ 422,32"
296,95,2024-03-15,Sudeste,"R$ 1520,12"
297,146,2023-06-20,Norte,"R$ 464,94"
298,85,2022-03-03,Nordeste,"R$ 482,96"
299,55,2021-06-08,Norte,"R$ 290,70"
300,133,2022-08-18,Nordeste,"R$ 952,16"
301,56,2020-02-27,Nordeste,"R$ 363,30"
302,140,2020-02-14,Sudeste,"R$ 492,72"
303,77,2022-10-28,Sudeste,"R$ 260,00"
304,55,2024-02-01,Sudeste,"R$ 484,15"
305,14,2024-11-19,Sul,"R$ 459,64"
306,49,2020-06-08,Centro-Oeste,"R$ 575,00"
307,140,2020-06-22,Norte,"R$ 531,11"
308,52,2023-10-15,Norte,"R$ 227,56"
309,67,2022-11-30,Sul,"R$ 469,37"
310,29,2024-07-22,Centro-Oeste,"R$ 614,26"
311,69,2020-01-13,Sul,"R$ 20,02"
312,16,2021-12-31,Centro-Oeste,"R$ 612,67"
313,137,2021-08-22,Norte,"R$ 505,45"
314,88,2020-05-16,Sudeste,"R$ 428,60"
315,39,2023-07-30,Sudeste,"R$ 700,76"
316,128,2024-05-26,Sul,"R$ 491,59"
317,67,2020-06-05,Centro-Oeste,"R$ 493,53"
318,85,2022-11-11,Sul,"R$ 740,21"
319,114,2022-05-17,Centro-Oeste,"R$ 730,84"
320,122,2022-06-29,Sul,"R$ 228,42"
321,23,2020-02-26,Nordeste,"R$ 122,50"
322,122,2020-12-06,Nordeste,"R$ 864,29"
323,36,2023-11-01,Centro-Oeste,"R$ 322,77"
324,21,2024-10-30,Norte,"R$ 612,04"
325,110,2020-07-10,Centro-Oeste,"R$ 814,46"
326,40,2022-06-03,Nordeste,"R$ 322,21"
327,134,2020-11-25,Sudeste,"R$ 410,16"
328,69,2024-05-25,Centro-Oeste,"R$ 545,30"
329,123,2024-10-14,Sul,"R$ 821,34"
330,76,2022-01-21,Sul,"R$ 114,01"
331,61,2021-05-07,Sul,"R$ 10,87"
332,21,2022-09-01,Sul,"R$ 264,46"
333,48,2021-05-26,Centro-Oeste,"R$ 652,68"
334,114,2020-12-21,Norte,"R$ 342,74"
335,4,2023-05-14,Norte,"R$ 117,98"
336,18,2021-01-15,Norte,"R$ 585,96"
337,133,2024-06-30,Sudeste,"R$ 152,51"
338,79,2023-01-04,Sudeste,"R$ 791,84"
339,135,2021-02-19,Nordeste,"R$ 258,62"
340,99,2020-12-27,Nordeste,"R$ 1454,20"
341,149,2022-02-24,Nordeste,"R$ 51,13"
342,8,2020-03-11,Sudeste,"R$ 541,37"
343,44,2020-04-28,Nordeste,"R$ 335,27"
344,8,2024-07-10,Norte,"R$ 410,86"
345,143,2020-07-01,Nordeste,"R$ 144,29"
346,85,2022-04-01,Centro-Oeste,"R$ 246,64"
347,24,2021-08-01,Centro-Oeste,"R$ 619,77"
348,49,2023-01-03,Centro-Oeste,"R$ 232,10"
349,100,2022-11-25,Sul,"R$ 631,64"
350,106,2020-05-04,Norte,"R$ 750,33"
351,3,2022-10-18,Nordeste,"R$ 284,21"
352,139,2021-04-07,Nordeste,"R$ 426,97"
353,105,2023-12-05,Norte,"R$ 363,12"
354,62,2024-05-12,Norte,"R$ 888,61"
355,32,2024-03-16,Norte,"R$ 500,48"
356,35,2021-11-03,Centro-Oeste,"R$ 237,44"
357,26,2021-04-28,Sudeste,"R$ 862,88"
358,57,2020-12-10,Nordeste,"R$ 411,94"
359,6,2024-10-19,Sul,"R$ 277,67"
360,29,2020-05-13,Centro-Oeste,"R$ 719,94"
361,109,2021-12-21,Sudeste,"R$ 415,92"
362,99,2022-08-10,Sudeste,"R$ 704,99"
363,111,2022-10-16,Sul,"R$ 158,38"
364,8,2022-05-31,Norte,"R$ 294,82"
365,108,2022-02-15,Sudeste,"R$ 375,54"
366,48,2022-01-08,Norte,"R$ 433,43"
367,96,2022-09-07,Sul,"R$ 499,97"
368,144,2020-01-12,Nordeste,"R$ 946,60"
369,88,2023-10-22,Norte,"R$ 616,79"
370,79,2021-04-07,Norte,"R$ 484,96"
371,107,2021-05-05,Sudeste,"R$ 267,47"
372,51,2023-08-13,Sul,"R$ 119,38"
373,91,2021-07-19,Nordeste,"R$ 525,98"
374,139,2021-01-07,Nordeste,"R$ 162,74"
375,26,2023-11-16,Sudeste,"R$ 597,48"
376,135,2022-09-18,Centro-Oeste,"R$ 333,57"
377,50,2021-12-08,Sul,"R$ 976,79"
378,130,2020-12-17,Nordeste,"R$ 393,47"
379,49,2024-06-29,Sudeste,"R$ 786,26"
380,56,2024-08-22,Sudeste,"R$ 195,97"
381,119,2021-06-04,Sul,"R$ 245,02"
382,58,2021-01-17,Norte,"R$ 385,68"
383,109,2021-04-19,Nordeste,"R$ 862,57"
384,14,2022-08-15,Sul,"R$ 524,36"
385,109,2022-11-26,Sudeste,"R$ 308,41"
386,111,2020-04-23,Centro-Oeste,"R$ 637,46"
387,119,2020-02-16,Sul,"R$ 363,88"
388,48,2024-01-27,Nordeste,"R$ 535,17"
389,93,2021-12-05,Sudeste,"R$ 334,64"
390,145,2020-06-12,Nordeste,"R$ 640,71"
391,44,2020-07-28,Sul,"R$ 1093,80"
392,106,2020-03-28,Norte,"R$ 184,12"
393,81,2022-06-26,Norte,"R$ 566,86"
394,136,2024-05-01,Nordeste,"R$ 337,57"
395,24,2024-11-10,Centro-Oeste,"R$ 463,14"
396,118,2022-09-02,Nordeste,"R$ 225,01"
397,60,2020-03-04,Nordeste,"R$ 369,04"
398,30,2022-08-30,Sul,"R$ 858,67"
399,10,2020-08-17,Sudeste,"R$ 858,49"
400,116,2020-04-21,Sudeste,"R$ 287,08"
401,45,2023-10-27,Centro-Oeste,"R$ 764,14"
402,83,2024-12-23,Sudeste,"R$ 1066,04"
403,105,2023-09-18,Nordeste,"R$ 571,66"
404,83,2024-09-19,Norte,"R$ 482,23"
405,76,2020-09-24,Sudeste,"R$ 404,37"
406,147,2024-10-06,Centro-Oeste,"R$ 170,61"
407,3,2020-02-03,Sul,"R$ 514,33"
408,125,2023-03-02,Sul,"R$ 122,02"
409,103,2020-05-07,Centro-Oeste,"R$ 413,11"
410,110,2023-11-14,Norte,"R$ 854,07"
411,53,2020-06-13,Sul,"R$ 260,16"
412,146,2020-10-18,Centro-Oeste,"R$ 339,75"
413,44,2021-12-28,Nordeste,"R$ 531,65"
414,150,2023-08-07,Sul,"R$ 740,12"
415,52,2020-06-17,Sul,"R$ 572,67"
416,120,2024-09-02,Nordeste,"R$ 911,12"
417,145,2024-09-11,Norte,"R$ 449,09"
418,63,2023-09-23,Centro-Oeste,"R$ 766,08"
419,46,2024-02-27,Centro-Oeste,"R$ 1121,25"
420,84,2021-02-22,Nordeste,"R$ 352,46"
421,139,2024-12-31,Sudeste,"R$ 574,61"
422,139,2020-03-12,Sudeste,"R$ 886,20"
423,86,2024-03-13,Sul,"R$ 694,27"
424,149,2022-08-31,Centro-Oeste,"R$ 358,60"
425,24,2022-04-17,Centro-Oeste,"R$ 363,67"
426,29,2020-12-31,Centro-Oeste,"R$ 635,40"
427,37,2021-01-22,Nordeste,"R$ 724,08"
428,148,2021-11-02,Sul,"R$ 379,76"
429,74,2024-12-14,Centro-Oeste,"R$ 298,27"
430,142,2024-03-27,Sudeste,"R$ 253,62"
431,115,2023-06-14,Sul,"R$ 549,83"
432,74,2020-02-12,Sudeste,"R$ 413,86"
433,131,2020-12-18,Sul,"R$ 644,76"
434,129,2021-05-03,Nordeste,"R$ 544,79"
435,84,2022-07-07,Centro-Oeste,"R$ 338,21"
436,71,2021-11-06,Sul,"R$ 331,00"
437,2,2020-03-25,Norte,"R$ 555,39"
438,91,2021-08-03,Centro-Oeste,"R$ 407,40"
439,46,2020-01-07,Sudeste,"R$ 472,25"
440,73,2020-04-24,Sul,"R$ 436,75"
441,56,2021-07-04,Sul,"R$ 620,92"
442,92,2020-04-25,Centro-Oeste,"R$ 657,00"
443,148,2024-08-02,Centro-Oeste,"R$ 298,53"
444,86,2022-10-08,Sul,"R$ 370,16"
445,64,2022-12-09,Sudeste,"R$ 836,24"
446,61,2024-08-02,Nordeste,"R$ 626,59"
447,85,2020-08-25,Sudeste,"R$ 536,94"
448,23,2023-10-19,Norte,"R$ 332,92"
449,112,2021-03-04,Norte,"R$ 276,35"
450,47,2024-02-03,Sudeste,"R$ 155,96"
451,121,2021-12-13,Sudeste,"R$ 544,45"
452,83,2020-11-22,Sul,"R$ 226,93"
453,97,2021-03-26,Centro-Oeste,"R$ 482,11"
454,92,2023-03-08,Nordeste,"R$ 74,43"
455,46,2022-06-22,Norte,"R$ 208,93"
456,147,2021-11-03,Centro-Oeste,"R$ 453,31"
457,54,2024-09-21,Centro-Oeste,"R$ 774,24"
458,53,2024-04-13,Norte,"R$ 254,03"
459,18,2021-08-13,Nordeste,"R$ 239,15"
460,112,2023-10-27,Nordeste,"R$ 576,11"
461,73,2020-09-05,Sudeste,"R$ 765,81"
462,75,2022-11-27,Sul,"R$ 390,25"
463,107,2021-10-15,Norte,"R$ 166,52"
464,28,2021-11-05,Sul,"R$ 317,24"
465,60,2024-06-29,Sudeste,"R$ 805,06"
466,69,2024-06-11,Sul,"R$ 507,39"
467,6,2022-12-25,Centro-Oeste,"R$ 88,06"
468,57,2020-09-29,Nordeste,"R$ 33,07"
469,64,2023-03-18,Centro-Oeste,"R$ 380,23"
470,115,2020-12-02,Nordeste,"R$ 679,57"
471,123,2022-03-27,Sudeste,"R$ 616,65"
472,150,2020-01-16,Norte,"R$ 171,21"
473,21,2021-09-27,Norte,"R$ 780,31"
474,46,2022-11-01,Norte,"R$ 390,20"
475,133,2020-08-03,Nordeste,"R$ 281,13"
476,68,2022-09-10,Centro-Oeste,"R$ 233,98"
477,22,2023-05-15,Nordeste,"R$ 737,64"
478,99,2023-11-22,Centro-Oeste,"R$ 509,40"
479,101,2023-08-15,Centro-Oeste,"R$ 726,97"
480,134,2021-03-01,Sudeste,"R$ 736,74"
481,145,2020-03-27,Centro-Oeste,"R$ 0,00"
482,73,2024-10-23,Norte,"R$ 501,20"
483,126,2020-04-06,Nordeste,"R$ 368,54"
484,38,2024-05-30,Sul,"R$ 268,54"
485,144,2020-03-31,Centro-Oeste,"R$ 482,83"
486,133,2020-01-19,Centro-Oeste,"R$ 840,86"
487,43,2021-08-15,Sul,"R$ 535,78"
488,105,2023-03-17,Sudeste,"R$ 565,18"
489,150,2022-10-30,Centro-Oeste,"R$ 445,77"
490,74,2023-06-27,Centro-Oeste,"R$ 741,38"
491,88,2020-09-23,Nordeste,"R$ 416,96"
492,103,2021-01-31,Sudeste,"R$ 650,39"
493,98,2022-06-14,Sudeste,"R$ 552,04"
494,22,2023-11-21,Sul,"R$ 235,63"
495,132,2024-06-15,Sudeste,"R$ 451,48"
496,76,2020-03-12,Centro-Oeste,"R$ 741,21"
497,32,2023-04-04,Nordeste,"R$ 1081,06"
498,54,2022-02-26,Norte,"R$ 828,82"
499,40,2020-03-27,Norte,"R$ 209,66"
500,39,2022-09-09,Nordeste,"R$ 194,55"
501,1,2022-07-06,Sudeste,"R$ 769,80"
502,113,2020-07-18,Sudeste,"R$ 800,67"
503,112,2022-12-23,Norte,"R$ 791,07"
504,120,2020-01-03,Norte,"R$ 485,29"
505,83,2020-09-08,Sudeste,"R$ 546,92"
506,4,2022-06-22,Sul,"R$ 1195,45"
507,78,2022-06-13,Sul,"R$ 781,40"
508,122,2021-06-14,Centro-Oeste,"R$ 218,29"
509,128,2022-02-21,Sul,"R$ 596,12"
510,82,2022-11-22,Nordeste,"R$ 491,17"
511,79,2024-07-09,Centro-Oeste,"R$ 394,32"
512,62,2023-03-25,Norte,"R$ 572,91"
513,61,2024-05-30,Nordeste,"R$ 509,81"
514,16,2023-08-30,Norte,"R$ 493,16"
515,136,2022-03-20,Sul,"R$ 186,73"
516,124,2022-08-03,Sul,"R$ 260,99"
517,41,2024-10-06,Nordeste,"R$ 471,50"
518,47,2021-02-24,Sul,"R$ 140,18"
519,63,2020-07-29,Sudeste,"R$ 201,71"
520,5,2020-09-30,Sudeste,"R$ 588,10"
